Unnamed: 0,ID,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Satisfaction
54003,86405,Male,Loyal Customer,49,Business Travel,Business,2811,3,4,3,3,,5,4,5,5,5,5,5,5,4,5,0,Satisfied
48758,103937,Female,Loyal Customer,55,Business Travel,Business,770,1,1,1,1,2,4,5,5,5,5,5,3,5,3,34,40,Satisfied
8177,106691,Female,Loyal Customer,34,Business Travel,Business,516,4,4,2,4,3,4,4,5,5,5,5,4,5,4,0,0,Satisfied
27436,13355,Female,Loyal Customer,63,Business Travel,Eco,748,2,4,4,4,3,3,3,2,2,2,2,5,2,1,0,0,Satisfied
3446,42171,Male,Loyal Customer,61,Business Travel,Eco,451,,3,3,3,5,5,5,5,1,5,2,2,4,5,0,0,Satisfied
68838,77966,Female,Disloyal Customer,23,Business Travel,Business,332,5,2,4,2,1,4,1,1,4,2,5,4,5,1,7,0,Satisfied
38899,84785,Female,Loyal Customer,,Business Travel,Business,3273,2,2,1,2,5,5,5,5,5,5,5,5,5,5,1,0,Satisfied
20935,128931,Male,Loyal Customer,40,Business Travel,Business,3177,,5,5,5,4,5,5,5,5,5,5,4,5,3,0,0,Satisfied
10746,108308,Female,Loyal Customer,28,Business Travel,Business,1706,3,3,3,3,2,2,2,2,5,4,4,4,5,2,11,0,Satisfied
43421,95770,Female,Loyal Customer,54,Personal Travel,Eco,453,2,4,2,3,2,5,4,5,5,2,2,4,5,5,6,0,Neutral or Dissatisfied
60742,102991,Female,Loyal Customer,44,Business Travel,Business,2862,2,2,2,2,5,4,5,5,5,5,5,3,5,3,0,0,Satisfied
33550,82349,Male,Loyal Customer,55,Business Travel,Business,2587,2,2,2,2,4,4,5,5,5,5,5,4,5,3,0,0,Satisfied
103509,90129,Male,Loyal Customer,30,Business Travel,Business,2573,1,1,1,1,4,4,4,4,4,4,5,3,4,4,0,0,Satisfied
2324,27231,Male,Loyal Customer,29,Business Travel,Business,3351,4,4,4,4,4,4,4,4,2,3,3,3,1,4,0,0,Satisfied
36717,25829,Male,Loyal Customer,30,Business Travel,Business,3439,1,1,1,1,5,5,5,5,5,5,1,5,1,5,25,18,Satisfied
61011,75693,Male,Loyal Customer,43,Business Travel,Business,868,,2,2,2,2,4,4,4,4,4,4,4,4,3,44,25,Satisfied
80015,109463,Male,Loyal Customer,55,Business Travel,Business,2819,2,2,2,2,2,4,5,5,5,5,5,3,5,4,4,0,Satisfied
82667,113361,Female,Loyal Customer,50,Business Travel,Business,3291,5,1,5,5,2,4,5,5,5,5,5,3,5,5,0,0,Satisfied
26138,91320,Male,Loyal Customer,57,Business Travel,Eco Plus,404,3,1,1,1,3,3,3,3,3,1,2,3,2,3,0,7,Neutral or Dissatisfied
54843,20051,Female,Loyal Customer,49,Business Travel,Business,473,,2,2,2,1,2,1,4,4,4,4,3,4,2,0,0,Satisfied
95842,28572,Male,Loyal Customer,41,Business Travel,Eco,2607,4,1,3,1,4,4,4,4,4,2,4,1,4,4,0,0,Satisfied
42299,52119,Male,Loyal Customer,33,Business Travel,Eco Plus,639,5,1,3,1,5,5,5,5,3,1,1,4,4,5,0,0,Satisfied
49417,75932,Male,Loyal Customer,48,Business Travel,Business,1894,3,5,3,3,5,5,5,5,5,5,5,5,5,5,307,299,Satisfied
76893,26118,Male,Loyal Customer,56,Business Travel,Business,1823,4,4,4,4,5,5,4,5,5,5,5,3,5,3,69,51,Satisfied
85069,68328,Male,Loyal Customer,52,Personal Travel,Eco,2165,4,5,3,2,1,3,1,1,3,4,5,4,5,1,0,0,Satisfied
28467,116673,Female,Loyal Customer,41,Business Travel,Business,373,4,4,4,4,3,5,4,3,3,4,3,4,3,4,5,0,Satisfied
37086,119025,Male,Disloyal Customer,22,Business Travel,Eco,1060,5,5,5,3,2,5,2,2,2,4,5,1,2,2,0,0,Satisfied
53824,20160,Female,Loyal Customer,32,Business Travel,Business,403,4,4,4,4,5,5,5,5,4,2,3,5,4,5,0,0,Satisfied
56046,109714,Female,Loyal Customer,31,Business Travel,Business,534,5,5,5,5,3,3,3,3,4,2,4,3,5,3,18,16,Satisfied
51407,27327,Male,Disloyal Customer,25,Business Travel,Eco,679,0,0,0,3,1,0,1,1,2,2,4,3,5,1,49,38,Satisfied
11886,72070,Male,Disloyal Customer,39,Business Travel,Business,2486,1,1,1,2,4,1,4,4,3,3,4,5,4,4,0,0,Neutral or Dissatisfied
67963,68752,Female,Loyal Customer,42,Business Travel,Business,3277,2,2,2,2,2,4,5,5,5,5,5,3,5,3,0,0,Satisfied
39282,22391,Female,Loyal Customer,30,Business Travel,Eco,238,4,4,4,4,4,4,4,4,4,4,1,4,3,4,0,4,Satisfied
87061,8634,Male,Loyal Customer,58,Business Travel,Business,280,0,0,0,1,2,4,4,2,2,4,4,5,2,4,13,23,Satisfied
19555,85442,Female,Loyal Customer,59,Business Travel,Business,1572,3,3,3,3,2,4,4,3,3,3,3,2,3,1,9,3,Neutral or Dissatisfied
34496,68394,Male,Loyal Customer,51,Business Travel,Business,1045,4,4,4,4,3,4,4,5,5,5,5,4,5,4,0,0,Satisfied
87001,82872,Female,Loyal Customer,36,Business Travel,Business,2002,3,3,3,3,4,4,5,5,5,5,5,4,5,4,0,0,Satisfied
47812,87731,Female,Loyal Customer,47,Business Travel,Business,4502,3,3,2,3,4,4,4,4,5,5,5,4,4,4,0,20,Satisfied
3486,7985,Female,Loyal Customer,55,Business Travel,Business,3980,1,1,3,1,,4,4,5,5,5,5,4,5,4,0,0,Satisfied
27591,12585,Male,Loyal Customer,51,Business Travel,Eco,542,5,3,3,3,5,5,5,5,5,2,2,4,3,5,8,8,Satisfied
87811,61069,Female,Loyal Customer,51,Business Travel,Business,1546,1,1,1,1,2,4,,4,4,4,4,5,4,4,32,14,Satisfied
70166,68359,Female,Loyal Customer,40,Business Travel,Business,2072,5,5,4,5,2,4,5,4,4,4,4,3,4,4,0,0,Satisfied
29175,28056,Male,Loyal Customer,43,Business Travel,Business,2603,1,1,2,1,5,5,5,2,1,5,3,5,2,5,0,0,Satisfied
75670,84988,Male,Loyal Customer,52,Business Travel,Business,1590,2,2,2,2,3,4,5,4,4,4,4,4,4,3,30,19,Satisfied
39642,37378,Female,Loyal Customer,49,Business Travel,Eco,1028,4,3,3,3,1,3,4,4,4,4,4,4,4,2,38,17,Satisfied
91151,35430,Male,Loyal Customer,11,Personal Travel,Eco,1076,5,3,5,3,5,5,5,5,2,4,2,4,3,5,37,28,Satisfied
76313,23812,Female,Loyal Customer,27,Personal Travel,Eco,438,3,2,3,2,3,3,3,3,4,3,2,4,2,3,2,0,Neutral or Dissatisfied
13071,72916,Female,Loyal Customer,51,Business Travel,Business,2725,1,1,1,1,2,4,5,5,5,5,5,4,5,3,0,0,Satisfied
80856,73646,Male,Loyal Customer,44,Business Travel,Business,3957,0,5,0,4,2,4,4,4,4,4,2,4,4,4,0,0,Satisfied
22357,35938,Female,Disloyal Customer,24,Business Travel,Eco Plus,881,1,4,1,3,5,1,5,5,3,1,3,2,2,5,2,0,Neutral or Dissatisfied
103638,125318,Female,Loyal Customer,52,Business Travel,Business,2061,,3,3,3,4,5,5,5,5,5,5,4,5,4,5,9,Satisfied
82244,102758,Male,Disloyal Customer,26,Business Travel,Business,1618,3,3,3,1,2,3,2,2,4,2,3,5,5,2,0,0,Neutral or Dissatisfied
38257,63384,Female,Loyal Customer,35,Personal Travel,Eco,337,5,4,5,4,1,5,,1,4,4,5,5,4,1,0,5,Satisfied
35440,128360,Female,Loyal Customer,33,Business Travel,Business,338,3,3,3,3,2,5,5,4,4,4,4,4,4,4,0,0,Satisfied
103403,122912,Female,Loyal Customer,15,Business Travel,Business,2203,5,4,5,5,5,5,5,5,4,2,4,5,5,5,0,5,Satisfied
30355,81731,Female,Loyal Customer,57,Business Travel,Business,1416,3,3,3,3,5,4,4,4,4,4,4,5,4,5,0,0,Satisfied
82492,98309,Female,Loyal Customer,46,Business Travel,Business,1565,5,5,1,5,5,5,5,2,2,2,2,4,2,5,8,0,Satisfied
38132,7706,Female,Loyal Customer,60,Personal Travel,Eco,767,3,5,3,3,5,4,5,4,4,3,4,5,4,5,0,1,Neutral or Dissatisfied
46606,55009,Female,Disloyal Customer,22,Business Travel,Business,1379,5,0,5,1,3,5,3,3,3,4,5,3,4,3,0,5,Satisfied
19371,28242,Female,Loyal Customer,70,Personal Travel,Eco,1009,0,5,0,1,4,4,4,2,2,0,3,5,2,4,0,0,Satisfied
40962,12420,Male,Loyal Customer,59,Personal Travel,Eco,201,5,1,5,4,2,5,1,2,1,4,3,2,3,2,31,29,Satisfied
58563,79584,Female,Loyal Customer,28,Business Travel,Business,3125,4,4,4,4,4,4,4,4,3,4,5,5,5,4,45,23,Satisfied
17267,109012,Female,Loyal Customer,27,Business Travel,Business,2078,1,1,1,1,4,4,,4,4,3,5,4,4,4,0,0,Satisfied
67171,37848,Male,Loyal Customer,67,Business Travel,Business,997,2,2,2,2,1,4,1,5,5,5,5,5,5,1,24,4,Satisfied
88744,10515,Female,Loyal Customer,47,Business Travel,Business,201,1,1,1,1,2,5,5,4,4,4,5,5,4,5,18,29,Satisfied
83684,121860,Female,Loyal Customer,50,Business Travel,Business,366,3,3,3,3,5,4,5,2,2,2,2,4,2,3,0,0,Satisfied
23393,48270,Female,Loyal Customer,32,Business Travel,Eco Plus,236,5,1,3,1,5,5,5,5,1,4,3,4,2,5,39,32,Satisfied
9362,27722,Female,Loyal Customer,38,Business Travel,Eco,1448,3,4,4,4,3,3,3,3,4,2,5,2,2,3,0,0,Satisfied
92620,75923,Female,Loyal Customer,44,Business Travel,Business,1560,1,1,3,1,2,4,4,5,5,5,5,5,5,4,0,0,Satisfied
51125,97463,Male,Disloyal Customer,29,Business Travel,Business,822,4,4,4,2,5,4,5,5,4,3,5,3,4,5,11,11,Satisfied
49813,21070,Female,Loyal Customer,37,Business Travel,Business,3455,2,2,2,2,2,3,1,5,5,5,5,3,5,3,0,0,Satisfied
23758,8277,Female,Loyal Customer,45,Personal Travel,Eco,335,5,5,5,3,3,4,4,2,2,5,2,4,2,5,0,0,Satisfied
33247,123858,Male,Disloyal Customer,22,Business Travel,Eco,541,5,0,5,1,3,5,3,3,3,2,4,3,5,3,45,23,Satisfied
82325,36614,Female,Loyal Customer,47,Business Travel,Eco,1197,5,1,1,1,4,3,1,5,5,5,5,1,5,3,0,2,Satisfied
3743,88548,Male,Loyal Customer,25,Personal Travel,Eco,515,,5,4,4,4,4,4,4,5,4,4,4,5,4,0,10,Satisfied
5226,27617,Female,Loyal Customer,44,Business Travel,Eco Plus,1050,5,1,1,1,4,2,2,5,5,5,5,1,5,1,0,0,Satisfied
97624,5334,Female,Loyal Customer,42,Business Travel,Business,2616,3,3,3,3,2,5,4,2,2,3,2,3,2,4,60,38,Satisfied
83161,41901,Female,Loyal Customer,50,Business Travel,Business,129,0,3,0,1,4,2,4,2,2,2,2,4,2,5,0,0,Satisfied
84980,102908,Male,Loyal Customer,61,Personal Travel,Business,317,5,5,5,2,2,3,4,2,2,5,2,2,2,1,0,0,Satisfied
77296,42289,Female,Loyal Customer,51,Business Travel,Business,2400,3,2,2,2,2,2,1,3,3,3,3,1,3,2,0,0,Neutral or Dissatisfied
80945,75411,Male,Disloyal Customer,22,Business Travel,Eco,2342,3,3,3,3,3,3,3,3,3,2,2,4,3,3,17,6,Neutral or Dissatisfied
52010,49036,Male,Loyal Customer,47,Business Travel,Business,2105,0,5,0,1,1,5,5,4,4,1,1,4,4,3,43,40,Satisfied
102529,36957,Male,Loyal Customer,44,Business Travel,Business,899,5,5,5,5,4,4,4,4,5,4,2,4,1,4,188,203,Satisfied
57532,122342,Female,Loyal Customer,23,Business Travel,Business,1662,4,4,4,4,5,5,5,5,4,5,4,4,4,5,18,23,Satisfied
57085,61708,Male,Loyal Customer,,Business Travel,Business,1608,3,3,5,3,2,2,2,2,5,3,3,4,4,2,26,16,Satisfied
28294,125810,Female,Loyal Customer,19,Business Travel,Business,2271,4,4,4,4,5,4,5,5,4,4,4,3,4,5,18,28,Satisfied
27416,60622,Female,Loyal Customer,57,Business Travel,Eco,801,4,1,1,1,2,2,3,4,4,4,4,1,4,2,11,2,Satisfied
30127,79523,Female,Loyal Customer,47,Business Travel,Business,1865,3,3,3,3,2,5,5,5,5,5,5,3,5,4,0,0,Satisfied
81771,113408,Female,Loyal Customer,51,Business Travel,Business,2397,,0,0,5,5,5,4,3,3,3,3,3,3,3,3,4,Satisfied
7928,62776,Female,Loyal Customer,39,Business Travel,Business,899,4,4,4,4,1,4,5,5,5,5,5,4,5,5,1,16,Satisfied
75145,113286,Female,Loyal Customer,60,Business Travel,Business,2236,5,5,5,5,3,4,4,5,5,5,5,4,5,5,1,6,Satisfied
9647,71252,Male,Loyal Customer,56,Business Travel,Business,2154,4,2,4,4,5,5,2,5,5,5,5,4,5,5,0,0,Satisfied
44473,79067,Male,Loyal Customer,36,Business Travel,Business,226,4,4,4,4,2,5,4,5,5,5,5,5,5,5,0,0,Satisfied
23803,56250,Male,Loyal Customer,47,Business Travel,Business,404,1,1,1,1,4,4,5,2,2,2,2,3,2,5,0,0,Satisfied
90644,113992,Male,Loyal Customer,62,Business Travel,Business,3230,3,3,3,3,4,2,1,4,4,4,4,1,4,5,9,9,Satisfied
6870,31353,Male,Loyal Customer,38,Business Travel,Eco,692,5,5,5,5,5,5,5,5,3,2,1,2,5,5,0,0,Satisfied
39523,101775,Female,Loyal Customer,11,Personal Travel,Business,1521,4,1,4,4,4,4,4,4,2,1,3,3,4,4,0,11,Satisfied
47048,58225,Male,Loyal Customer,41,Personal Travel,Eco,925,1,5,1,1,4,1,4,4,1,3,1,3,3,4,0,4,Neutral or Dissatisfied
3092,27159,Female,Loyal Customer,42,Business Travel,Business,2701,4,4,4,4,5,4,4,2,4,3,5,4,1,4,0,0,Satisfied
17618,42164,Male,Loyal Customer,44,Business Travel,Business,748,5,5,5,5,5,1,4,4,4,4,4,2,4,5,0,2,Satisfied
15329,22756,Male,Loyal Customer,53,Business Travel,Business,302,3,3,3,3,1,3,3,4,4,4,4,5,4,1,5,2,Satisfied
86218,65263,Male,Loyal Customer,51,Business Travel,Business,3945,1,1,1,1,2,5,4,4,4,4,4,5,4,3,0,0,Satisfied
84862,93123,Female,Loyal Customer,41,Business Travel,Business,3230,4,4,4,4,4,4,4,5,5,4,5,3,5,3,25,20,Satisfied
76282,19377,Male,Loyal Customer,18,Business Travel,Business,2720,1,1,1,1,4,4,4,5,1,5,3,4,2,4,133,122,Satisfied
21279,92636,Male,Loyal Customer,50,Business Travel,Business,453,2,1,1,1,4,4,3,2,2,2,2,3,2,2,7,17,Neutral or Dissatisfied
53951,49495,Female,Loyal Customer,33,Business Travel,Eco,77,4,1,2,2,4,5,4,4,1,4,5,3,1,4,0,0,Satisfied
71820,40960,Male,Loyal Customer,51,Business Travel,Business,3314,3,3,3,3,2,2,3,5,5,5,5,2,5,5,0,0,Satisfied
87301,75415,Male,Loyal Customer,60,Business Travel,Business,2342,1,1,1,1,4,4,4,4,4,4,4,4,4,5,1,0,Satisfied
16628,26723,Female,Loyal Customer,30,Business Travel,Eco Plus,515,5,4,4,4,5,5,5,5,2,3,1,5,3,5,0,0,Satisfied
94739,64178,Female,Loyal Customer,49,Business Travel,Eco Plus,589,5,2,2,2,4,4,1,4,4,5,4,5,4,2,0,0,Satisfied
32835,76823,Male,Loyal Customer,52,Business Travel,Business,1851,2,2,2,2,2,5,5,3,3,3,3,3,3,5,20,3,Satisfied
1182,31833,Female,Loyal Customer,13,Personal Travel,Eco,2762,4,4,4,4,4,4,4,2,4,4,4,4,3,4,3,0,Satisfied
86873,65032,Female,Loyal Customer,41,Personal Travel,Eco,224,5,4,0,4,2,0,,2,1,5,5,3,1,2,0,0,Satisfied
57839,40416,Male,Loyal Customer,,Business Travel,Eco,290,4,1,1,1,4,4,4,4,2,3,1,1,4,4,0,0,Satisfied
77863,90663,Male,Loyal Customer,41,Business Travel,Business,240,2,2,2,2,3,4,5,4,4,4,4,4,4,4,0,0,Satisfied
69821,103394,Female,Loyal Customer,52,Business Travel,Business,237,1,1,1,1,4,5,4,5,5,5,5,3,5,4,14,15,Satisfied
28972,104163,Male,Loyal Customer,42,Business Travel,Business,3992,4,4,4,4,2,4,4,4,4,5,4,5,4,3,35,18,Satisfied
72296,3483,Male,Loyal Customer,38,Business Travel,Business,2632,3,3,3,3,5,4,4,5,5,5,5,5,5,3,116,87,Satisfied
8929,99994,Female,Loyal Customer,37,Business Travel,Business,2720,2,2,2,2,3,5,4,5,5,5,5,4,5,3,0,9,Satisfied
90596,96007,Male,Loyal Customer,24,Business Travel,Business,1090,2,5,5,5,2,2,2,2,2,3,4,4,3,2,1,5,Neutral or Dissatisfied
63594,58590,Male,Loyal Customer,49,Business Travel,Business,3437,1,4,1,1,2,5,5,4,4,5,4,5,4,3,1,0,Satisfied
18970,101277,Female,Loyal Customer,60,Business Travel,Business,444,2,2,3,2,5,4,5,4,4,4,4,4,4,3,0,7,Satisfied
74280,27697,Male,Loyal Customer,8,Personal Travel,Eco,1107,2,4,2,4,1,2,1,1,4,2,5,4,5,1,0,0,Neutral or Dissatisfied
62851,5052,Male,Loyal Customer,,Business Travel,Business,235,5,5,5,5,3,5,4,4,4,4,4,4,4,3,27,40,Satisfied
81790,65987,Male,Loyal Customer,57,Business Travel,Business,1372,3,3,3,3,4,4,,4,4,4,4,5,4,3,31,0,Satisfied
100655,76974,Male,Loyal Customer,28,Business Travel,Business,1969,4,4,3,4,5,5,5,5,5,3,4,5,4,5,0,0,Satisfied
15080,41229,Male,Loyal Customer,59,Personal Travel,Eco,912,5,5,5,3,5,5,5,5,4,3,5,5,4,5,0,0,Satisfied
28899,5485,Male,Loyal Customer,,Business Travel,Business,3331,1,1,1,1,4,4,4,4,4,4,4,3,4,5,0,0,Satisfied
51503,21203,Female,Loyal Customer,24,Business Travel,Business,2050,5,5,5,5,4,4,3,4,3,4,1,4,5,4,0,0,Satisfied
71347,4047,Male,Loyal Customer,39,Personal Travel,Eco,479,4,4,4,4,5,4,5,5,1,2,4,2,4,5,40,59,Satisfied
5748,109946,Male,Loyal Customer,33,Personal Travel,Eco,971,0,1,0,3,1,0,4,1,4,5,4,3,3,1,15,0,Satisfied
102324,314,Female,Loyal Customer,,Business Travel,Business,2160,2,2,2,2,2,4,4,4,4,4,4,3,4,5,0,9,Satisfied
46522,70046,Male,Loyal Customer,43,Personal Travel,Eco,583,5,5,5,1,5,5,4,5,3,4,4,4,4,5,13,0,Satisfied
93974,84687,Female,Loyal Customer,51,Personal Travel,Eco,2182,1,1,2,3,5,3,3,4,4,2,4,4,4,3,0,2,Neutral or Dissatisfied
49171,113383,Male,Loyal Customer,54,Business Travel,Business,2720,4,4,2,4,5,4,4,4,4,5,4,4,4,3,0,0,Satisfied
43319,124897,Female,Loyal Customer,27,Business Travel,Business,1842,4,4,4,4,5,5,5,5,4,2,5,4,5,5,0,0,Satisfied
13657,48666,Male,Loyal Customer,36,Business Travel,Business,3199,4,4,4,4,3,5,5,5,5,5,5,4,5,5,0,34,Satisfied
6858,29189,Male,Loyal Customer,26,Personal Travel,Eco Plus,605,4,4,4,3,2,4,1,2,5,3,5,3,5,2,0,14,Neutral or Dissatisfied
36926,113993,Female,Loyal Customer,57,Business Travel,Business,3355,4,4,4,4,3,2,5,4,4,4,4,2,4,3,1,0,Satisfied
28690,31716,Female,Loyal Customer,39,Personal Travel,Eco,862,5,4,5,3,3,5,5,3,2,3,4,2,4,3,3,0,Satisfied
57356,24405,Female,Loyal Customer,29,Business Travel,Business,2714,2,2,1,2,4,4,4,4,1,1,3,4,5,4,0,0,Satisfied
60863,152,Female,Loyal Customer,51,Business Travel,Business,3424,3,4,4,4,5,3,3,3,3,3,3,4,3,4,44,42,Neutral or Dissatisfied
54135,44819,Female,Loyal Customer,13,Personal Travel,Eco,491,3,4,1,3,4,1,,4,1,3,4,2,4,4,27,65,Neutral or Dissatisfied
7851,46099,Male,Loyal Customer,16,Personal Travel,Eco Plus,541,1,5,1,3,5,1,5,5,1,2,4,3,5,5,1,3,Neutral or Dissatisfied
75273,1322,Male,Loyal Customer,33,Business Travel,Business,2713,3,3,3,3,4,4,5,4,3,3,5,3,5,4,0,8,Satisfied
101139,6595,Female,Loyal Customer,67,Personal Travel,Eco,607,2,4,2,2,3,4,4,2,2,2,2,3,2,3,2,0,Neutral or Dissatisfied
18550,51304,Female,Loyal Customer,40,Business Travel,Eco Plus,190,2,3,3,3,2,2,2,2,2,5,3,4,3,2,0,0,Satisfied
61372,41511,Male,Disloyal Customer,13,Business Travel,Eco,1235,4,4,4,3,2,4,4,2,5,3,5,2,5,2,0,9,Satisfied
52989,7523,Female,Loyal Customer,,Business Travel,Business,762,1,1,5,1,5,4,5,5,5,5,5,4,5,3,10,0,Satisfied
12112,71694,Female,Loyal Customer,,Personal Travel,Eco,1120,4,5,4,2,5,4,5,5,4,3,5,5,4,5,0,0,Satisfied
47465,27936,Male,Loyal Customer,29,Business Travel,Business,1774,5,5,5,5,4,4,4,4,3,3,4,3,4,4,0,0,Satisfied
37206,85105,Female,Loyal Customer,24,Business Travel,Business,731,2,2,2,2,5,5,5,5,4,5,5,3,4,5,0,0,Satisfied
22593,66827,Female,Loyal Customer,58,Business Travel,Business,731,2,2,2,2,5,4,4,4,4,4,4,4,4,5,0,0,Satisfied
46299,57415,Female,Loyal Customer,59,Business Travel,Business,3887,,4,4,4,3,1,1,4,4,4,4,5,4,5,0,0,Satisfied
98712,72638,Female,Loyal Customer,34,Personal Travel,Eco,929,2,1,1,3,1,1,,1,4,3,2,1,2,1,0,0,Neutral or Dissatisfied
14452,44949,Male,Loyal Customer,37,Business Travel,Eco,397,5,4,4,4,5,5,5,5,5,1,3,1,1,5,0,0,Satisfied
33164,102087,Female,Loyal Customer,42,Business Travel,Business,1804,5,5,5,5,3,5,4,5,5,5,5,5,5,5,21,2,Satisfied
94182,35079,Female,Loyal Customer,39,Business Travel,Business,1818,2,2,2,2,2,5,3,5,5,5,5,1,5,5,0,6,Satisfied
63362,26567,Male,Loyal Customer,26,Business Travel,Business,515,2,2,2,2,4,4,4,4,3,4,5,5,4,4,0,0,Satisfied
9732,9146,Female,Disloyal Customer,23,Business Travel,Eco,227,4,4,4,3,2,4,2,2,5,3,5,4,5,2,92,86,Satisfied
30774,70331,Female,Loyal Customer,51,Business Travel,Business,2049,1,1,1,1,4,4,5,4,4,4,4,5,4,4,0,0,Satisfied
51468,126826,Male,Disloyal Customer,40,Business Travel,Eco,1189,3,2,2,3,3,3,2,3,2,3,1,4,3,3,0,0,Neutral or Dissatisfied
99300,35659,Male,Loyal Customer,45,Business Travel,Business,2475,4,4,4,4,2,2,2,5,4,4,3,2,1,2,35,176,Satisfied
60494,99883,Male,Disloyal Customer,26,Business Travel,Business,738,5,5,5,2,3,5,1,3,5,4,4,4,4,3,0,13,Satisfied
97400,88428,Female,Loyal Customer,58,Business Travel,Business,3747,1,1,1,1,4,5,4,4,4,4,4,4,4,4,6,0,Satisfied
47798,77323,Male,Loyal Customer,56,Business Travel,Business,588,2,2,2,2,4,4,5,4,4,4,4,3,4,5,0,0,Satisfied
93943,116948,Female,Loyal Customer,57,Business Travel,Business,2913,1,1,1,1,2,5,4,4,4,4,4,3,4,3,57,56,Satisfied
59599,63361,Female,Loyal Customer,41,Personal Travel,Eco,372,5,4,5,2,2,5,2,2,3,2,5,3,5,2,0,0,Satisfied
9290,68844,Female,Loyal Customer,49,Business Travel,Business,3272,2,2,2,2,2,4,4,4,4,5,4,3,4,4,17,0,Satisfied
86903,54388,Female,Loyal Customer,76,Business Travel,Business,1713,5,5,5,5,2,2,5,5,5,5,5,4,5,4,8,2,Satisfied
27547,47235,Female,Loyal Customer,42,Personal Travel,Eco Plus,965,3,5,3,4,5,5,5,1,1,3,1,5,1,3,0,0,Neutral or Dissatisfied
32449,13319,Female,Loyal Customer,49,Business Travel,Eco,764,4,3,1,1,1,3,4,4,4,4,4,1,4,2,45,32,Satisfied
72269,25361,Male,Loyal Customer,22,Business Travel,Eco,591,5,1,5,5,5,4,5,5,5,5,1,1,1,5,0,0,Satisfied
4799,4780,Female,Loyal Customer,44,Business Travel,Business,438,1,1,1,1,4,4,4,4,4,4,4,3,4,3,0,0,Satisfied
52331,84576,Male,Loyal Customer,45,Business Travel,Business,1572,4,4,4,4,5,4,4,4,4,4,4,5,4,4,0,0,Satisfied
95647,73626,Male,Loyal Customer,44,Business Travel,Business,3722,2,2,2,2,2,4,4,5,5,5,5,3,5,4,0,0,Satisfied
51011,93036,Female,Loyal Customer,54,Business Travel,Business,436,4,4,4,4,4,4,5,5,5,5,5,3,5,5,0,0,Satisfied
8932,68728,Female,Loyal Customer,75,Business Travel,Eco Plus,175,4,2,2,2,5,4,1,4,4,4,4,3,4,5,0,0,Satisfied
